HOUSE 2ND DISTRICT (REP),Precinct,Voters,Trnout,Pct,Greg Walden,Paul A. Daglian,Over Votes,Under Votes,Write-ins,,,,,,
,124,201,113,56.22,9,16,22,27,0,38,1,,,,
,125,193,85,44.04,3,3,15,36,0,27,1,,,,
,126,413,120,29.06,8,12,23,42,0,33,2,,,,
,127,147,61,41.50,4,12,16,8,0,19,2,,,,
,128,535,204,38.13,22,24,23,69,0,64,2,,,,
,129,311,99,31.83,6,14,25,21,1,32,0,,,,
,130,392,121,30.87,10,9,23,48,0,31,0,,,,
,131,201,88,43.78,12,7,14,27,0,27,1,,,,
,132,274,155,56.57,16,10,34,42,0,53,0,,,,
,133,243,131,53.91,6,18,26,23,0,55,3,,,,
,136,390,163,41.79,12,18,24,53,0,56,0,,,,
,137,320,125,39.06,10,12,33,29,0,40,1,,,,
,138,364,186,51.10,16,18,25,37,0,88,2,,,,
,139,377,209,55.44,15,15,31,69,0,74,5,,,,
,140,101,43,42.57,4,3,9,11,0,16,0,,,,
,141,288,162,56.25,5,11,24,44,0,74,4,,,,
,142,258,151,58.53,9,15,32,39,0,56,0,,,,
,143,407,193,47.42,19,17,33,40,0,82,2,,,,
,TOTAL,9663,3954,40.92,322,379,769,1116,2,1317,49,,,,
GOVERNOR (DEM),Precinct,Voters,Trnout,Pct,Pete Sorenson,Ted Kulongoski,Jim Hill,Over Votes,Under Votes,Write-ins,,,,,
,101,153,45,29.41,7,21,12,0,5,0,,,,,
,102,455,132,29.01,27,64,38,0,2,1,,,,,
,103,317,107,33.75,19,54,30,0,2,2,,,,,
,104,408,125,30.64,24,56,31,0,7,7,,,,,
,105,375,85,22.67,13,42,24,0,4,2,,,,,
,106,350,113,32.29,31,44,32,0,6,0,,,,,
,107,140,45,32.14,5,23,15,0,1,1,,,,,
,108,57,27,47.37,1,12,12,0,2,0,,,,,
,109,41,19,46.34,3,9,6,0,1,0,,,,,
,110,235,123,52.34,7,45,59,0,5,7,,,,,
,111,621,208,33.49,19,98,80,0,11,0,,,,,
,112,21,11,52.38,2,4,5,0,0,0,,,,,
,113,205,89,43.41,11,28,43,0,6,1,,,,,
,114,74,31,41.89,5,13,11,0,2,0,,,,,
,115,66,35,53.03,9,18,6,0,2,0,,,,,
,116,62,19,30.65,4,5,7,0,2,1,,,,,
,117,33,15,45.45,4,2,9,0,0,0,,,,,
,119,42,24,57.14,1,12,8,0,3,0,,,,,
,120,274,141,51.46,29,66,29,0,12,5,,,,,
,121,138,60,43.48,8,31,14,0,6,1,,,,,
,123,181,91,50.28,13,38,34,0,6,0,,,,,
,124,201,113,56.22,28,43,32,0,8,2,,,,,
,125,193,85,44.04,17,27,31,0,9,1,,,,,
,126,413,120,29.06,17,65,34,1,3,0,,,,,
,127,147,61,41.5,7,37,14,0,2,1,,,,,
,128,535,204,38.13,25,105,65,0,7,2,,,,,
,129,311,99,31.83,14,49,31,0,5,0,,,,,
,130,392,121,30.87,15,65,35,0,4,2,,,,,
,131,201,88,43.78,20,42,14,0,10,2,,,,,
,132,274,155,56.57,24,70,39,0,22,0,,,,,
,133,243,131,53.91,30,64,19,0,15,3,,,,,
,136,390,163,41.79,35,57,65,0,6,0,,,,,
,137,320,125,39.06,20,52,48,0,5,0,,,,,
,138,364,186,51.1,19,83,72,0,11,1,,,,,
,139,377,209,55.44,24,102,74,0,9,0,,,,,
,140,101,43,42.57,3,22,15,0,3,0,,,,,
,141,288,162,56.25,10,78,62,0,8,4,,,,,
,142,258,151,58.53,23,46,71,0,10,1,,,,,
,143,407,193,47.42,19,85,75,0,12,2,,,,,
,TOTAL,9663,3954,40.92,592,1777,1301,1,234,49,,,,,
STATE HOUSE 57TH DISTRICT (DEM),Precinct,Voters,Trnout,Pct,Nancy H. Wolfe,Over Votes,Under Votes,Write-ins,,,,,,,
,101,51,15,29.41,10,0,5,0,,,,,,,
,103,9,4,44.44,0,0,4,0,,,,,,,
,106,7,2,28.57,2,0,0,0,,,,,,,
,107,23,9,39.13,7,0,2,0,,,,,,,
,110,52,29,55.76,13,0,16,0,,,,,,,
,112,1,0,0,0,0,0,0,,,,,,,
,114,27,12,44.44,5,0,7,0,,,,,,,
,115,32,18,56.25,11,0,7,0,,,,,,,
,116,3,2,66.66,1,0,1,0,,,,,,,
,117,33,15,45.45,7,0,8,0,,,,,,,
,119,42,24,57.14,13,0,11,0,,,,,,,
,120,274,141,51.46,78,0,63,0,,,,,,,
,121,138,60,43.48,39,0,19,2,,,,,,,
,123,181,91,50.28,52,0,39,0,,,,,,,
,124,5,3,60,1,0,2,0,,,,,,,
,125,69,29,42.03,20,0,9,0,,,,,,,
,131,201,88,43.78,60,0,28,0,,,,,,,
,132,274,155,56.57,92,0,63,0,,,,,,,
,133,243,131,53.91,75,0,54,2,,,,,,,
,TOTAL,1665,828,49.73,486,0,338,4,,,,,,,
STATE HOUSE 58TH DISTRICT (DEM),Precinct,Voters,Trnout,Pct,Ben Talley,Over Votes,Under Votes,Write-ins,,,,,,,
,101,102,30,29.41,18,0,12,0,,,,,,,
,102,455,132,29,90,0,40,2,,,,,,,
,103,308,103,33.44,71,0,32,0,,,,,,,
,104,408,125,30.64,86,0,37,2,,,,,,,
,105,375,85,22.67,67,0,15,3,,,,,,,
,106,343,111,32.36,70,0,37,4,,,,,,,
,107,117,36,30.77,23,0,12,1,,,,,,,
,108,57,27,47.37,19,0,8,0,,,,,,,
,109,41,19,46.34,13,0,6,0,,,,,,,
,110,183,94,51.37,51,0,38,5,,,,,,,
,111,621,208,33.49,145,0,61,2,,,,,,,
,112,20,11,55,7,0,4,0,,,,,,,
,113,205,89,43.41,58,0,30,1,,,,,,,
,114,47,19,40.43,13,0,6,0,,,,,,,
,115,34,17,50,9,0,8,0,,,,,,,
,116,59,17,28.21,14,0,3,0,,,,,,,
,124,196,110,56.12,64,0,45,1,,,,,,,
,125,124,56,45.16,31,0,25,0,,,,,,,
,126,413,120,29.06,71,0,47,2,,,,,,,
,127,147,61,41.5,41,0,19,1,,,,,,,
,128,535,204,38.13,130,0,70,4,,,,,,,
,129,311,99,31.83,61,0,38,0,,,,,,,
,130,392,121,30.87,79,0,40,2,,,,,,,
,136,390,163,41.79,103,0,58,2,,,,,,,
,137,320,125,39.06,80,0,44,1,,,,,,,
,138,364,186,51.1,105,0,77,4,,,,,,,
,139,377,209,55.44,130,0,74,5,,,,,,,
,140,101,43,42.57,26,0,15,2,,,,,,,
,141,288,162,56.25,95,0,63,4,,,,,,,
,142,258,151,58.53,91,0,60,0,,,,,,,
,143,407,193,47.42,108,0,84,1,,,,,,,
,TOTAL,7998,3126,39.08,1969,0,1108,49,,,,,,,
