President (DEM),Precinct,Hillary Clinton,Barack Obama,WI,Trnout,,,,
,16,229,0,229,,,,,
,17,320,2,322,,,,,
,18,87,0,87,,,,,
,19,138,1,139,,,,,
,20,96,0,96,,,,,
,21,59,0,59,,,,,
,22,99,0,99,,,,,
,23,98,1,99,,,,,
,24,116,0,116,,,,,
,25,116,0,116,,,,,
,26,171,2,173,,,,,
,27,73,2,75,,,,,
,TOTAL,3243,22,3265,,,,,
Secretary of State (DEM),Precinct,Kate Brown,Rick Metsger,Vicki L. Walker,Paul Damian Wells,WI,Trnout,,
,1,11,7,6,0,0,24,,
,2,41,20,13,3,0,77,,
,3,55,25,29,3,2,114,,
,4,20,14,8,5,0,47,,
,5,102,51,38,6,0,197,,
,6,70,43,7,4,0,124,,
,7,37,20,14,2,1,74,,
,8,62,28,21,11,0,122,,
,9,75,50,25,8,1,159,,
,10,66,30,18,5,0,119,,
,11,86,45,28,8,0,167,,
,12,27,23,7,0,0,57,,
,13,33,13,6,3,0,55,,
,14,27,15,16,4,1,63,,
,15,40,16,14,5,0,75,,
,16,100,48,42,8,0,198,,
,17,162,57,43,13,0,275,,
,18,40,19,17,5,0,81,,
,19,68,32,19,5,0,124,,
,20,39,22,23,3,1,88,,
,21,26,11,7,3,0,47,,
,22,29,18,23,7,0,77,,
,23,46,31,12,2,0,91,,
,24,56,26,24,6,0,112,,
,25,41,27,25,8,1,102,,
,26,91,22,31,12,1,157,,
,27,31,11,19,2,1,64,,
,TOTAL,1481,724,535,141,9,2890,,
State Treasurer (DEM),Precinct,Ben Westlund,WI,Trnout,,,,,
,1,19,1,20,,,,,
,2,65,0,65,,,,,
,3,85,1,86,,,,,
,4,41,0,41,,,,,
,5,163,2,165,,,,,
,6,105,0,105,,,,,
,7,53,1,54,,,,,
,8,86,0,86,,,,,
,9,145,1,146,,,,,
,10,99,0,99,,,,,
,11,141,2,143,,,,,
,12,49,0,49,,,,,
,13,42,0,42,,,,,
,14,46,2,48,,,,,
,15,65,0,65,,,,,
,16,180,0,180,,,,,
,17,232,2,234,,,,,
,18,68,1,69,,,,,
,19,103,2,105,,,,,
,20,68,0,68,,,,,
,21,38,0,38,,,,,
,22,66,1,67,,,,,
,23,78,0,78,,,,,
,24,98,0,98,,,,,
,25,89,1,90,,,,,
,26,137,1,138,,,,,
,27,60,0,60,,,,,
,TOTAL,2421,18,2439,,,,,
Attorney General (DEM),Precinct,John R. Kroger,Greg Macpherson,WI,Trnout,,,,
,1,8,14,0,22,,,,
,2,44,27,0,71,,,,
,3,73,39,0,112,,,,
,4,29,17,0,46,,,,
,5,108,84,0,192,,,,
,6,60,65,1,126,,,,
,7,37,43,0,80,,,,
,8,76,42,0,118,,,,
,9,87,73,1,161,,,,
,10,61,55,0,116,,,,
,11,81,77,0,158,,,,
,12,26,31,0,57,,,,
,13,25,26,0,51,,,,
,14,27,29,1,57,,,,
,15,33,38,0,71,,,,
,16,113,94,0,207,,,,
,17,152,117,0,269,,,,
,18,39,39,0,78,,,,
,19,55,66,0,121,,,,
,20,40,44,0,84,,,,
,21,20,27,0,47,,,,
,22,42,38,0,80,,,,
,23,56,33,0,89,,,,
,24,65,48,0,113,,,,
,25,56,45,0,101,,,,
,26,86,72,1,159,,,,
,27,39,24,0,63,,,,
,TOTAL,1538,1307,4,2849,,,,
"State Senator, 1st District (DEM)",Precinct,Eldon Rollins,WI,Trnout,,,,,
,1,13,0,13,,,,,
,2,59,1,60,,,,,
,3,73,1,74,,,,,
,4,40,0,40,,,,,
,5,148,1,149,,,,,
,6,97,0,97,,,,,
,7,41,2,43,,,,,
,8,74,1,75,,,,,
,9,126,3,129,,,,,
,10,86,0,86,,,,,
,11,130,4,134,,,,,
,12,35,0,35,,,,,
,13,35,0,35,,,,,
,14,45,2,47,,,,,
,15,63,0,63,,,,,
,16,160,1,161,,,,,
,17,204,5,209,,,,,
,18,65,1,66,,,,,
,19,89,2,91,,,,,
,20,60,1,61,,,,,
,21,32,0,32,,,,,
,22,61,1,62,,,,,
,23,74,0,74,,,,,
,24,83,0,83,,,,,
,25,83,0,83,,,,,
,26,124,4,128,,,,,
,27,53,0,53,,,,,
,TOTAL,2153,30,2183,,,,,
"State Representative, 1st District (DEM)",Precinct,Richard (Rick) Goche,WI,Trnout,,,,,
,1,14,0,14,,,,,
,2,56,2,58,,,,,
,3,83,1,84,,,,,
,4,38,0,38,,,,,
,5,168,1,169,,,,,
,6,107,0,107,,,,,
,7,54,0,54,,,,,
,8,73,1,74,,,,,
,9,135,1,136,,,,,
,10,88,1,89,,,,,
,11,131,6,137,,,,,
,12,42,0,42,,,,,
,13,41,0,41,,,,,
,14,47,2,49,,,,,
,15,66,0,66,,,,,
,16,163,0,163,,,,,
,17,222,4,226,,,,,
,18,67,0,67,,,,,
,19,96,2,98,,,,,
,20,61,1,62,,,,,
,21,34,0,34,,,,,
,22,61,2,63,,,,,
,23,73,1,74,,,,,
,24,88,0,88,,,,,
,25,87,0,87,,,,,
,26,126,4,130,,,,,
,27,56,0,56,,,,,
,TOTAL,2277,29,2306,,,,,
President (REP),Precinct,John McCain,Ron Paul,WI,Trnout,,,,
,1,10,4,1,15,,,,
,2,100,22,3,125,,,,
,3,68,24,4,96,,,,
,4,30,14,6,50,,,,
,5,91,23,5,119,,,,
,6,66,29,1,96,,,,
,7,37,3,2,42,,,,
,8,104,27,9,140,,,,
,9,205,32,7,244,,,,
,10,113,17,6,136,,,,
,11,174,33,7,214,,,,
,12,35,9,1,45,,,,
,13,51,9,4,64,,,,
,14,62,24,3,89,,,,
,15,95,29,6,130,,,,
,16,229,51,16,296,,,,
,17,291,52,25,368,,,,
,18,91,20,13,124,,,,
,19,165,41,12,218,,,,
,20,77,15,2,94,,,,
,21,52,14,5,71,,,,
,22,101,15,8,124,,,,
,23,109,32,4,145,,,,
,24,101,30,8,139,,,,
,25,93,18,0,111,,,,
,26,166,32,11,209,,,,
,27,62,9,7,78,,,,
,TOTAL,2778,628,176,3582,,,,
Senator (REP),Precinct,Gordon H. Smith,Gordon Leitch,WI,Trnout,,,,
,1,12,1,1,14,,,,
,2,102,11,0,113,,,,
,3,87,5,0,92,,,,
,4,38,7,0,45,,,,
,5,91,22,1,114,,,,
,6,72,21,0,93,,,,
,7,25,12,0,37,,,,
,8,107,22,0,129,,,,
,9,202,34,0,236,,,,
,10,107,23,1,131,,,,
,11,178,27,0,205,,,,
,12,33,12,0,45,,,,
,13,40,14,2,56,,,,
,14,67,16,0,83,,,,
,15,104,19,0,123,,,,
,16,232,35,1,268,,,,
,17,282,59,5,346,,,,
,18,90,26,2,118,,,,
,19,171,27,0,198,,,,
,20,76,14,0,90,,,,
,21,49,8,0,57,,,,
,22,95,19,1,115,,,,
,23,107,32,0,139,,,,
,24,104,23,1,128,,,,
,25,84,22,0,106,,,,
,26,158,34,3,195,,,,
,27,64,11,1,76,,,,
,TOTAL,2777,556,19,3352,,,,
"Representative in Congress, 4th District (REP)",Precinct,WI,Trnout,,,,,,
,1,0,0,,,,,,
,2,6,6,,,,,,
,3,5,5,,,,,,
,4,1,1,,,,,,
,5,2,2,,,,,,
,6,8,8,,,,,,
,7,4,4,,,,,,
,8,9,9,,,,,,
,9,10,10,,,,,,
,10,3,3,,,,,,
,11,8,8,,,,,,
,12,2,2,,,,,,
,13,2,2,,,,,,
,14,6,6,,,,,,
,15,4,4,,,,,,
,16,19,19,,,,,,
,17,19,19,,,,,,
,18,5,5,,,,,,
,19,4,4,,,,,,
,20,2,2,,,,,,
,21,2,2,,,,,,
,22,9,9,,,,,,
,23,4,4,,,,,,
,24,4,4,,,,,,
,25,7,7,,,,,,
,26,12,12,,,,,,
,27,2,2,,,,,,
,TOTAL,159,159,,,,,,
Secretary of State (REP),Precinct,Rick Dancer,WI,Trnout,,,,,
,1,9,0,9,,,,,
,2,78,1,79,,,,,
,3,65,6,71,,,,,
,4,30,0,30,,,,,
,5,82,1,83,,,,,
,6,73,1,74,,,,,
,7,28,0,28,,,,,
,8,101,0,101,,,,,
,9,165,0,165,,,,,
,10,82,3,85,,,,,
,11,143,1,144,,,,,
,12,29,0,29,,,,,
,13,35,0,35,,,,,
,14,60,0,60,,,,,
,15,103,0,103,,,,,
,16,214,2,216,,,,,
,17,249,2,251,,,,,
,18,84,3,87,,,,,
,19,152,0,152,,,,,
,20,66,0,66,,,,,
,21,38,1,39,,,,,
,22,80,0,80,,,,,
,23,95,3,98,,,,,
,24,105,2,107,,,,,
,25,84,0,84,,,,,
,26,152,4,156,,,,,
,27,54,1,55,,,,,
,TOTAL,2456,31,2487,,,,,
State Treasurer (REP),Precinct,Allen Alley,WI,Trnout,,,,,
,1,8,0,8,,,,,
,2,74,0,74,,,,,
,3,68,1,69,,,,,
,4,27,0,27,,,,,
,5,80,0,80,,,,,
,6,70,0,70,,,,,
,7,25,0,25,,,,,
,8,99,0,99,,,,,
,9,161,0,161,,,,,
,10,81,1,82,,,,,
,11,136,2,138,,,,,
,12,28,0,28,,,,,
,13,33,0,33,,,,,
,14,60,0,60,,,,,
,15,97,1,98,,,,,
,16,204,4,208,,,,,
,17,240,1,241,,,,,
,18,85,1,86,,,,,
,19,148,1,149,,,,,
,20,63,0,63,,,,,
,21,36,0,36,,,,,
,22,76,2,78,,,,,
,23,91,1,92,,,,,
,24,104,1,105,,,,,
,25,80,1,81,,,,,
,26,148,4,152,,,,,
,27,51,0,51,,,,,
,TOTAL,2373,21,2394,,,,,
Attorney General (REP),Precinct,WI,Trnout,,,,,,
,1,1,1,,,,,,
,2,4,4,,,,,,
,3,0,0,,,,,,
,4,0,0,,,,,,
,5,2,2,,,,,,
,6,9,9,,,,,,
,7,5,5,,,,,,
,8,8,8,,,,,,
,9,9,9,,,,,,
,10,4,4,,,,,,
,11,8,8,,,,,,
,12,4,4,,,,,,
,13,1,1,,,,,,
,14,2,2,,,,,,
,15,3,3,,,,,,
,16,8,8,,,,,,
,17,8,8,,,,,,
,18,8,8,,,,,,
,19,8,8,,,,,,
,20,2,2,,,,,,
,21,1,1,,,,,,
,22,3,3,,,,,,
,23,7,7,,,,,,
,24,5,5,,,,,,
,25,5,5,,,,,,
,26,9,9,,,,,,
,27,1,1,,,,,,
,TOTAL,125,125,,,,,,
"State Senator, 1st District (REP)",Precinct,Jeff Kruse,WI,Trnout,,,,,
,1,10,0,10,,,,,
,2,81,0,81,,,,,
,3,80,1,81,,,,,
,4,30,0,30,,,,,
,5,83,0,83,,,,,
,6,72,0,72,,,,,
,7,28,0,28,,,,,
,8,108,0,108,,,,,
,9,172,0,172,,,,,
,10,87,1,88,,,,,
,11,154,0,154,,,,,
,12,38,0,38,,,,,
,13,33,0,33,,,,,
,14,62,0,62,,,,,
,15,98,0,98,,,,,
,16,215,2,217,,,,,
,17,249,1,250,,,,,
,18,89,1,90,,,,,
,19,160,0,160,,,,,
,20,69,0,69,,,,,
,21,40,0,40,,,,,
,22,87,0,87,,,,,
,23,102,1,103,,,,,
,24,99,0,99,,,,,
,25,84,0,84,,,,,
,26,159,1,160,,,,,
,27,53,0,53,,,,,
,TOTAL,2542,8,2550,,,,,
"State Representative, 1st District (REP)",Precinct,Wayne Krieger,WI,Trnout,,,,,
,1,14,0,14,,,,,
,2,91,0,91,,,,,
,3,92,0,92,,,,,
,4,38,0,38,,,,,
,5,102,0,102,,,,,
,6,79,4,83,,,,,
,7,33,0,33,,,,,
,8,120,4,124,,,,,
,9,205,5,210,,,,,
,10,110,1,111,,,,,
,11,190,1,191,,,,,
,12,45,1,46,,,,,
,13,53,0,53,,,,,
,14,76,0,76,,,,,
,15,114,0,114,,,,,
,16,248,1,249,,,,,
,17,292,2,294,,,,,
,18,103,1,104,,,,,
,19,180,1,181,,,,,
,20,86,1,87,,,,,
,21,53,1,54,,,,,
,22,102,0,102,,,,,
,23,121,0,121,,,,,
,24,112,1,113,,,,,
,25,96,0,96,,,,,
,26,177,1,178,,,,,
,27,62,0,62,,,,,
,TOTAL,2994,25,3019,,,,,
