Senator (DEM),Precinct,Pavel Goberman,Loren Hooker,Ron Wyden,Write-ins,Over Votes,Under Votes,,,,,,
,14,49,0,0,45,,,,,,,,
,15,21,0,0,11,,,,,,,,
,16,49,1,0,44,,,,,,,,
,17,27,1,0,17,,,,,,,,
,18,14,0,0,13,,,,,,,,
,19,77,3,0,84,,,,,,,,
,20,65,0,0,48,,,,,,,,
,21,29,0,0,9,,,,,,,,
,22,28,0,0,30,,,,,,,,
,23,53,5,0,30,,,,,,,,
,24,37,1,0,18,,,,,,,,
,25,29,4,0,7,,,,,,,,
,26,201,1,0,119,,,,,,,,
,27,24,0,0,15,,,,,,,,
,28,46,2,0,26,,,,,,,,
,29,43,2,0,28,,,,,,,,
,30,27,0,0,16,,,,,,,,
,31,59,3,0,52,,,,,,,,
,32,59,0,0,29,,,,,,,,
,33,105,1,0,68,,,,,,,,
,34,66,3,0,49,,,,,,,,
,35,52,1,0,47,,,,,,,,
,36,41,0,0,25,,,,,,,,
,37,29,1,0,27,,,,,,,,
,38,49,2,0,30,,,,,,,,
,39,6,0,0,1,,,,,,,,
,40,101,2,0,66,,,,,,,,
,41,32,0,0,28,,,,,,,,
,42,32,1,0,16,,,,,,,,
,43,22,1,0,27,,,,,,,,
,44,21,1,0,20,,,,,,,,
,46,45,4,0,43,,,,,,,,
,47,47,4,0,31,,,,,,,,
,48,31,0,0,22,,,,,,,,
,49,49,0,0,29,,,,,,,,
,50,7,0,0,1,,,,,,,,
,52,7,0,0,6,,,,,,,,
,53,137,0,0,85,,,,,,,,
,55,20,0,0,10,,,,,,,,
,TOTAL,2285,55,0,1597,,,,,,,,
"State House, 32nd District (REP)",Precinct,Lew Barnes,Write-ins,Over Votes,Under Votes,,,,,,,,
,45,66,1,0,25,,,,,,,,
,51,23,0,0,13,,,,,,,,
,TOTAL,89,1,0,38,,,,,,,,
