President (DEM),Precinct,Hillary Clinton,Barack Obama,WI,OV,UV,,,,
,178,482,3,0,233,,,,,
,182,387,1,0,165,,,,,
,TOTAL,6367,50,2,3324,,,,,
Attorney General (REP),Precinct,WI,OV,UV,,,,,,
,102,1,0,217,,,,,,
,106,14,0,335,,,,,,
,110,6,0,97,,,,,,
,118,35,0,994,,,,,,
,122,5,0,144,,,,,,
,134,31,0,1156,,,,,,
,144,38,0,1106,,,,,,
,146,38,0,922,,,,,,
,152,38,0,1168,,,,,,
,154,13,0,834,,,,,,
,162,35,0,1128,,,,,,
,166,11,0,106,,,,,,
,178,33,0,685,,,,,,
,182,27,0,526,,,,,,
,TOTAL,325,0,9418,,,,,,
"State Senator, 5th District (REP)",Precinct,WI,UV,OV,,,,,,
,110,6,97,0,,,,,,
,TOTAL,6,97,0,,,,,,
"State Senator, 12th District (REP)",Precinct,Brian J. Boquist,WI,OV,UV,,,,,
,102,148,0,0,70,,,,,
,106,268,0,0,81,,,,,
,118,760,2,0,267,,,,,
,152,860,8,0,338,,,,,
,154,628,4,1,214,,,,,
,162,860,3,2,298,,,,,
,166,90,1,0,26,,,,,
,TOTAL,3614,18,3,1294,,,,,
"State Representative, 10th District (REP)",Precinct,WI,OV,UV,,,,,,
,110,5,0,98,,,,,,
,TOTAL,5,0,98,,,,,,
"State Representative, 20th District (REP)",Precinct,Vicki Berger,WI,OV,UV,,,,,
,122,106,2,0,41,,,,,
,134,904,4,0,279,,,,,
,144,817,6,1,320,,,,,
,146,723,7,0,230,,,,,
,178,531,7,0,180,,,,,
,182,403,8,0,142,,,,,
,TOTAL,3484,34,1,1192,,,,,
"State Representative, 23rd District (REP)",Precinct,Jim Thompson,Craig Pope,WI,OV,UV,,,,
,106,140,128,1,1,79,,,,
,118,520,296,3,1,209,,,,
,152,637,348,2,0,219,,,,
,154,443,262,0,0,142,,,,
,162,568,364,2,2,227,,,,
,166,54,45,0,0,18,,,,
,TOTAL,2362,1443,8,4,894,,,,
"State Representative, 24th District (REP)",Precinct,Jim Bunn,Edward (Ed) Glad,Jim Weidner,WI,OV,UV,,,
,102,77,37,69,0,1,34,,,
,TOTAL,77,37,69,0,1,34,,,
