President (DEM),Precinct,Trnout,"Lyndon H. Larouche, Jr",Al Gore,Write-ins,Under Votes,Over Votes,
Secretary of State (DEM),Precinct,Trnout,Bill Bradbury,Write-ins,Under Votes,Over Votes,,
,21,125,92,3,30,0,,
,22,80,65,1,14,0,,
,23,279,192,7,80,0,,
,24,243,173,5,65,0,,
,25,165,96,6,63,0,,
,26,24,11,2,11,0,,
,27,267,193,2,72,0,,
,28,234,142,6,85,1,,
,29,234,156,4,74,0,,
,30,203,119,6,78,0,,
,31,303,178,8,114,3,,
,32,158,110,5,42,1,,
,33,209,157,3,49,0,,
,34,241,166,7,67,1,,
,35,250,181,4,65,0,,
,36,168,102,4,62,0,,
,37,120,85,7,28,0,,
,38,111,74,1,36,0,,
,39,181,130,4,46,1,,
,40,213,131,7,75,0,,
,41,5,3,0,2,0,,
,42,274,211,8,54,1,,
,43,253,174,9,70,0,,
,44,211,136,6,69,0,,
,45,152,112,2,38,0,,
,46,94,66,1,27,0,,
,47,167,113,4,50,0,,
,48,104,78,4,22,0,,
,49,30,26,0,4,0,,
,50,90,69,0,21,0,,
,51,140,96,2,41,1,,
,52,62,43,0,19,0,,
,53,9,8,0,1,0,,
,54,87,57,1,29,0,,
State Treasurer (DEM),Precinct,Trnout,Randall Edwards,Gary Bruebaker,Write-ins,Under Votes,Over Votes,
,21,125,51,43,1,30,0,
,22,80,14,54,0,12,0,
,23,279,95,122,0,62,0,
,24,243,93,84,1,65,0,
,25,165,44,58,4,59,0,
,26,24,6,5,1,12,0,
,27,267,75,123,2,66,1,
,28,234,83,74,6,71,0,
,29,234,76,82,1,75,0,
,30,203,57,80,5,61,0,
,31,303,110,90,1,101,1,
,32,158,44,69,0,45,0,
,33,209,69,87,0,53,0,
,34,241,85,92,0,64,0,
,35,250,85,88,1,76,0,
,36,168,45,67,2,54,0,
,37,120,36,60,1,23,0,
,38,111,33,41,2,35,0,
,39,181,64,65,3,48,1,
,40,213,60,77,6,70,0,
,41,5,3,1,0,1,0,
,42,274,96,109,4,65,0,
,43,253,85,96,6,65,1,
,44,211,68,80,3,60,0,
,45,152,55,64,1,32,0,
,46,94,42,29,0,23,0,
,47,167,51,71,2,42,1,
,48,104,27,46,1,29,1,
,49,30,14,10,0,6,0,
,50,90,34,40,0,15,1,
,51,140,44,52,0,43,1,
,52,62,15,29,0,18,0,
,53,9,6,2,0,1,0,
,54,87,28,27,1,31,0,
Attorney General (DEM),Precinct,Trnout,Hardy Myers,Write-ins,Under Votes,Over Votes,,
,21,125,82,2,40,1,,
,22,80,61,2,17,0,,
,23,279,197,0,82,0,,
,24,243,166,3,74,0,,
,25,165,84,6,75,0,,
,26,24,11,2,11,0,,
,27,267,177,3,87,0,,
,28,234,128,8,98,0,,
,29,234,148,4,82,0,,
,30,203,103,7,93,0,,
,31,303,168,8,125,2,,
,32,158,100,4,54,0,,
,33,209,151,4,54,0,,
,34,241,161,4,76,0,,
,35,250,170,2,78,0,,
,36,168,90,4,74,0,,
,37,120,83,4,32,1,,
,38,111,65,4,42,0,,
,39,181,122,4,55,0,,
,40,213,123,6,84,0,,
,41,5,4,0,1,0,,
,42,274,191,6,77,0,,
,43,253,164,7,82,0,,
,44,211,132,6,73,0,,
,45,152,107,2,43,0,,
,46,94,66,1,27,0,,
,47,167,112,2,53,0,,
,48,104,73,3,27,1,,
,49,30,23,0,7,0,,
,50,90,69,0,21,0,,
,51,140,86,1,53,0,,
,52,62,40,1,21,0,,
,53,9,7,0,2,0,,
,54,87,53,3,31,0,,
State Senator 23rd District (DEM),Precinct,Trnout,Write-ins,Under Votes,Over Votes,,,
,21,125,4,121,0,,,
,32,158,8,150,0,,,
,36,168,12,156,0,,,
,42,274,14,260,0,,,
,44,211,12,199,0,,,
,45,152,4,148,0,,,
,51,140,8,132,0,,,
State Senator 25th District (DEM),Precinct,Trnout,Write-ins,Under Votes,Over Votes,,,
,22,80,8,72,0,,,
,23,279,34,245,0,,,
,24,243,29,214,0,,,
,25,165,17,148,0,,,
,26,24,1,23,0,,,
,27,267,24,243,0,,,
,28,234,23,211,0,,,
,29,234,23,211,0,,,
,30,203,33,170,0,,,
,31,303,43,260,0,,,
,33,209,26,183,0,,,
,34,241,37,204,0,,,
,35,250,22,228,0,,,
,37,120,23,97,0,,,
,38,111,15,96,0,,,
,39,181,19,162,0,,,
,40,213,19,194,0,,,
,41,5,0,5,0,,,
,43,253,37,216,0,,,
,46,94,17,77,0,,,
,47,167,19,148,0,,,
,48,104,18,86,0,,,
,49,30,6,24,0,,,
,50,90,4,86,0,,,
,52,62,2,60,0,,,
,53,9,0,9,0,,,
,54,87,8,79,0,,,
State House 46th District (DEM),Precinct,Trnout,W. Earl Calhoun,Write-ins,Under Votes,Over Votes,,
,21,125,71,1,53,0,,
,32,158,90,5,63,0,,
,36,168,77,4,87,0,,
,42,274,182,4,88,0,,
,44,211,118,7,86,0,,
,45,152,95,5,52,0,,
,51,140,82,2,56,0,,
State House 49th District (DEM),Precinct,Trnout,Write-ins,Under Votes,Over Votes,,,
,22,80,13,67,0,,,
,23,279,37,242,0,,,
,24,243,26,217,0,,,
,25,165,19,146,0,,,
,26,24,0,24,0,,,
,27,267,26,241,0,,,
,28,234,19,215,0,,,
,29,234,21,213,0,,,
,30,203,30,173,0,,,
,32,209,16,193,0,,,
,33,241,25,216,0,,,
,34,250,21,229,0,,,
,36,120,24,96,0,,,
,38,181,20,161,0,,,
,39,213,20,193,0,,,
,40,5,0,5,0,,,
,45,94,11,83,0,,,
,46,167,23,144,0,,,
,47,104,17,87,0,,,
,48,30,7,23,0,,,
,49,90,6,84,0,,,
,52,62,6,56,0,,,
,53,9,0,9,0,,,
,54,87,7,80,0,,,
State House 51st District (DEM),Precinct,Trnout,Lon Holston,Write-ins,Under Votes,Over Votes,,
,31,303,160,10,133,0,,
,38,111,62,1,47,1,,
,43,253,155,14,84,0,,
President (REP),Precinct,Trnout,George W. Bush,Alan Keys,Write-ins,Under Votes,Over Votes,
,21,143,111,19,6,7,0,
,22,186,132,38,5,9,2,
,23,525,407,76,24,17,1,
,24,370,284,48,21,17,0,
,25,390,321,53,7,7,2,
,26,34,26,8,0,0,0,
,27,501,410,58,18,13,2,
,28,256,184,50,9,13,0,
,29,320,236,46,24,13,1,
,30,117,85,23,4,5,0,
,31,394,304,66,13,9,2,
,32,157,124,21,7,5,0,
,33,345,263,46,12,24,0,
,34,353,262,50,20,20,1,
,35,428,332,58,15,22,1,
,36,274,198,53,14,8,1,
,37,189,152,18,8,11,0,
,38,177,137,21,6,13,0,
,39,248,185,37,13,9,4,
,40,313,231,51,16,15,0,
,41,17,12,2,3,0,0,
,42,468,369,62,24,12,1,
,43,402,296,76,19,11,0,
,44,386,306,48,21,10,1,
,45,197,162,23,6,6,0,
,46,135,104,14,9,8,0,
,47,250,196,37,7,8,2,
,48,161,130,21,2,8,0,
,49,49,38,4,3,4,0,
,50,167,128,27,6,6,0,
,51,304,232,45,10,15,2,
,52,93,71,14,6,2,0,
,53,21,14,3,1,3,0,
,54,130,109,10,3,8,0,
House 2nd District (REP),Precinct,Trnout,Greg Walden,Write-ins,Under Votes,Over Votes,,
,22,186,150,1,35,0,,
,23,525,437,3,85,0,,
,24,370,302,4,64,0,,
,25,390,336,6,48,0,,
,26,34,31,0,3,0,,
,27,501,417,2,81,1,,
,28,256,191,7,58,0,,
,29,320,262,8,50,0,,
,30,117,96,2,19,0,,
,31,394,321,2,71,0,,
,33,345,273,1,71,0,,
,34,353,301,5,47,0,,
,35,428,357,5,66,0,,
,36,274,222,3,49,0,,
,37,189,149,0,40,0,,
,38,177,147,1,29,0,,
,39,248,199,3,46,0,,
,40,313,257,6,50,0,,
,41,17,14,0,3,0,,
,43,402,320,2,79,1,,
,44,386,327,8,51,0,,
,46,135,116,0,19,0,,
,47,250,221,1,27,1,,
,48,161,128,3,30,0,,
,49,49,40,1,8,0,,
,50,167,140,0,26,1,,
,51,304,238,3,62,1,,
,52,93,79,2,12,0,,
,54,130,109,0,21,0,,
House 4th District (REP),Precinct,Trnout,John Lindsey,Wendell Robinson,Write-ins,Under Votes,Over Votes,
,21,143,65,34,3,41,0,
,32,157,60,42,3,52,0,
,42,468,242,114,5,107,0,
,45,197,101,49,3,44,0,
,53,21,14,1,0,6,0,
Secretary of State (REP),Precinct,Trnout,Lynn Lundquist,Paul Damian Wells,Lynn Snodgrass,Write-ins,Under Votes,Over Votes
,21,143,33,20,69,1,20,0
,22,186,52,17,91,0,26,0
,23,525,172,38,230,0,85,0
,24,370,107,41,169,1,51,1
,25,390,131,24,187,5,39,4
,26,34,6,0,21,0,7,0
,27,501,158,27,243,1,70,2
,28,256,61,28,133,0,33,1
,29,320,107,31,137,1,44,0
,30,117,28,17,59,2,11,0
,31,394,115,31,178,0,66,4
,32,157,48,7,74,0,28,0
,33,345,112,23,148,0,61,1
,34,353,100,25,166,2,58,2
,35,428,137,27,205,0,59,0
,36,274,79,24,130,3,38,0
,37,189,63,11,82,1,32,0
,38,177,58,9,72,1,37,0
,39,248,67,24,121,2,33,1
,40,313,95,24,140,0,52,2
,41,17,7,0,10,0,0,0
,42,468,152,47,210,0,56,3
,43,402,115,26,203,0,57,1
,44,386,121,34,178,4,48,1
,45,197,71,16,90,0,19,1
,46,135,47,16,52,0,20,0
,47,250,94,22,103,0,29,2
,48,161,52,11,70,0,28,0
,49,49,21,4,16,1,7,0
,50,167,62,8,65,1,31,0
,51,304,94,16,150,3,38,3
,52,93,22,6,47,1,17,0
,53,21,7,2,9,0,3,0
,54,130,46,6,58,1,18,1
State Treasurer (REP),Precinct,Trnout,John Kvistad,Write-ins,Under Votes,Over Votes,,
,21,143,87,4,52,0,,
,22,186,115,1,70,0,,
,23,525,354,3,168,0,,
,24,370,247,9,114,0,,
,25,390,273,8,108,1,,
,26,34,26,0,8,0,,
,27,501,336,4,161,0,,
,28,256,172,3,81,0,,
,29,320,208,11,101,0,,
,30,117,78,2,37,0,,
,31,394,252,6,135,1,,
,32,157,92,1,63,1,,
,33,345,217,4,124,0,,
,34,353,248,2,103,0,,
,35,428,285,1,142,0,,
,36,274,183,5,86,0,,
,37,189,121,1,67,0,,
,38,177,104,1,72,0,,
,39,248,169,5,74,0,,
,40,313,194,5,114,0,,
,41,17,11,0,6,0,,
,42,468,321,5,142,0,,
,43,402,261,2,138,1,,
,44,386,279,9,98,0,,
,45,197,130,1,66,0,,
,46,135,102,0,33,0,,
,47,250,188,0,62,0,,
,48,161,102,0,58,1,,
,49,49,33,1,15,0,,
,50,167,113,1,53,0,,
,51,304,205,2,97,0,,
,52,93,61,0,32,0,,
,53,21,15,0,6,0,,
,54,130,91,2,37,0,,
Attorney General (REP),Precinct,Trnout,Kevin L. Mannix,Write-ins,Under Votes,Over Votes,,
,21,143,93,4,46,0,,
,22,186,123,1,62,0,,
,23,525,364,2,159,0,,
,24,370,260,2,108,0,,
,25,390,275,8,107,0,,
,26,34,29,0,5,0,,
,27,501,346,2,153,0,,
,28,256,175,2,79,0,,
,29,320,212,7,101,0,,
,30,117,86,1,30,0,,
,31,394,259,4,131,0,,
,32,157,98,2,57,0,,
,33,345,223,1,121,0,,
,34,353,245,2,106,0,,
,35,428,299,1,127,1,,
,36,274,184,3,87,0,,
,37,189,122,2,65,0,,
,38,177,105,1,71,0,,
,39,248,174,5,69,0,,
,40,313,196,5,112,0,,
,41,17,9,1,7,0,,
,42,468,329,4,135,0,,
,43,402,268,2,132,0,,
,44,386,280,6,100,0,,
,45,197,133,0,64,0,,
,46,135,99,0,36,0,,
,47,250,182,0,68,0,,
,48,161,107,1,53,0,,
,49,49,37,1,11,0,,
,50,167,114,1,52,0,,
,51,304,206,3,95,0,,
,52,93,64,1,28,0,,
,53,21,14,0,7,0,,
,54,130,89,1,40,0,,
State Senator 23rd District (REP),Precinct,Trnout,Bill Fisher,Write-ins,Under Votes,Over Votes,,
,21,143,101,1,40,1,,
,32,157,102,1,54,0,,
,36,274,185,7,82,0,,
,42,468,328,1,138,1,,
,44,386,282,8,96,0,,
,45,197,129,0,68,0,,
,51,304,203,1,99,1,,
State Senator 25th District (REP),Precinct,Trnout,John A. Atkinson,Pat Fahey,Write-ins,Under Votes,Over Votes,
,22,186,113,67,0,6,0,
,23,525,298,201,0,24,2,
,24,370,169,183,0,17,1,
,25,390,222,163,1,4,0,
,26,34,20,12,0,2,0,
,27,501,262,219,0,20,0,
,28,256,139,101,0,15,1,
,29,320,182,121,1,15,1,
,30,117,52,57,0,6,2,
,31,394,229,139,1,21,4,
,33,345,177,145,1,20,2,
,34,353,188,156,0,9,0,
,35,428,251,161,0,14,2,
,37,189,98,86,0,5,0,
,38,177,102,66,1,7,1,
,39,248,126,107,1,13,1,
,40,313,178,116,0,19,0,
,41,17,7,10,0,0,0,
,43,402,231,151,1,16,3,
,46,135,60,69,0,6,0,
,47,250,142,101,0,7,0,
,48,161,82,73,0,4,2,
,49,49,32,15,0,2,0,
,50,167,87,69,0,9,2,
,52,93,51,31,0,10,1,
,53,21,10,11,0,0,0,
,54,130,64,54,1,10,1,
State House 46th District (REP),Precinct,Trnout,Susan Morgan,Write-ins,Under Votes,Over Votes,,
,21,143,100,2,41,0,,
,32,157,105,5,47,0,,
,36,274,193,4,77,0,,
,42,468,339,4,125,0,,
,44,386,278,14,93,1,,
,45,197,137,6,53,1,,
,51,304,200,9,95,0,,
State House 49th District (REP),Precinct,Trnout,Carl Wilson,Write-ins,Under Votes,Over Votes,,
,22,186,166,2,18,0,,
,23,525,459,4,62,0,,
,24,370,318,5,47,0,,
,25,390,353,3,33,1,,
,26,34,32,0,2,0,,
,27,501,446,2,53,0,,
,28,256,208,2,46,0,,
,29,320,266,3,51,0,,
,30,117,91,3,23,0,,
,33,345,299,3,43,0,,
,34,353,307,3,43,0,,
,35,428,364,11,52,1,,
,37,189,160,1,28,0,,
,39,248,210,4,34,0,,
,40,313,261,7,45,0,,
,41,17,15,0,2,0,,
,46,135,118,1,16,0,,
,47,250,217,2,31,0,,
,48,161,140,4,17,0,,
,49,49,44,1,4,0,,
,50,167,144,0,23,0,,
,52,93,71,2,20,0,,
,53,21,20,0,1,0,,
,54,130,115,3,12,0,,
State House 51st District (REP),Precinct,Trnout,Cherryl Walker,Larry Frank,Write-ins,Under Votes,Over Votes,
,31,394,220,141,1,31,1,
,38,177,93,49,6,29,0,
,43,402,251,110,3,37,1,
