"ContestOrder","Contest","Contest ID","Choice Order","Choice","BallotsWith Contest","Votes","Overvoted WithVote for this Choice","Undervoted WithoutVote for this Choice","Ballots WithVotes for Others","Double Voted WithVote for this Choice","Total Ovalsfor this Choice"
"46.00","State Representative, 46th District (VGNone) (Vote for 1)","54","580","Austin Daniel","34,711","1040","2","2,400","31,269","0","34,711"
"46.00","State Representative, 46th District (VGNone) (Vote for 1)","54","590","Write-in","34,711","58","1","2,400","32,252","0","34,711"
"48.00","State Representative, 47th District (VGNone) (Vote for 1)","55","590","Andrea Valderrama","26,743","16754","1","9,204","784","0","26,743"
"48.00","State Representative, 47th District (VGNone) (Vote for 1)","55","600","Write-in","26,743","784","1","9,204","16,754","0","26,743"
"50.00","State Representative, 48th District (VGNone) (Vote for 1)","56","600","Hoa H Nguyen","19,326","10898","5","1,383","7,040","0","19,326"
"50.00","State Representative, 48th District (VGNone) (Vote for 1)","56","610","John Masterman","19,326","6982","6","1,383","10,955","0","19,326"
"50.00","State Representative, 48th District (VGNone) (Vote for 1)","56","620","Write-in","19,326","57","1","1,383","17,885","0","19,326"
"52.00","State Representative, 49th District (VGNone) (Vote for 1)","57","630","Zach Hudson","26,762","13784","4","2,065","10,909","0","26,762"
"52.00","State Representative, 49th District (VGNone) (Vote for 1)","57","620","Terry A Tipsord","26,762","10838","4","2,065","13,855","0","26,762"
"52.00","State Representative, 49th District (VGNone) (Vote for 1)","57","640","Write-in","26,762","71","0","2,065","24,626","0","26,762"
"54.00","State Representative, 50th District (VGNone) (Vote for 1)","58","640","Ricki Ruiz","29,588","15014","2","2,057","12,515","0","29,588"
"54.00","State Representative, 50th District (VGNone) (Vote for 1)","58","650","Paul Drechsler","29,588","12448","2","2,057","15,081","0","29,588"
"54.00","State Representative, 50th District (VGNone) (Vote for 1)","58","660","Write-in","29,588","67","0","2,057","27,464","0","29,588"
"56.00","State Representative, 52nd District (VGNone) (Vote for 1)","59","670","Jeff Helfrich","6,533","3594","0","473","2,466","0","6,533"
"56.00","State Representative, 52nd District (VGNone) (Vote for 1)","59","660","Nick Walden Poublon","6,533","2456","0","473","3,604","0","6,533"
"56.00","State Representative, 52nd District (VGNone) (Vote for 1)","59","680","Write-in","6,533","10","0","473","6,050","0","6,533"
"58.00","Judge of the Supreme Court, Position 1 (Vote for 1)","30","680","Stephen K Bushong","416,874","229660","4","182,214","4,996","0","416,874"
"58.00","Judge of the Supreme Court, Position 1 (Vote for 1)","30","690","Write-in","416,874","4996","4","182,214","229,660","0","416,874"
"60.00","Judge of the Supreme Court, Position 7 (Vote for 1)","31","690","Bronson D James","416,874","227451","3","184,755","4,665","0","416,874"
"60.00","Judge of the Supreme Court, Position 7 (Vote for 1)","31","700","Write-in","416,874","4665","3","184,755","227,451","0","416,874"
"62.00","Judge of the Circuit Court, 4th District, Position 38 (Vote for 1)","29","700","Jeff Auxier","416,874","110776","64","154,047","151,987","0","416,874"
"62.00","Judge of the Circuit Court, 4th District, Position 38 (Vote for 1)","29","710","Rachel Philips","416,874","64244","51","154,047","198,532","0","416,874"
"62.00","Judge of the Circuit Court, 4th District, Position 38 (Vote for 1)","29","720","Jennifer L Myrick","416,874","48458","55","154,047","214,314","0","416,874"
"62.00","Judge of the Circuit Court, 4th District, Position 38 (Vote for 1)","29","740","Tom Dwyer","416,874","18598","51","154,047","244,178","0","416,874"
"62.00","Judge of the Circuit Court, 4th District, Position 38 (Vote for 1)","29","730","John Schlosser","416,874","17075","41","154,047","245,711","0","416,874"
"62.00","Judge of the Circuit Court, 4th District, Position 38 (Vote for 1)","29","750","Write-in","416,874","3572","5","154,047","259,250","0","416,874"
"64.00","Judge of the Circuit Court, 4th District, Position 20 (Vote for 1)","26","750","Bryan B Francesconi","416,874","219005","3","193,615","4,251","0","416,874"
"64.00","Judge of the Circuit Court, 4th District, Position 20 (Vote for 1)","26","760","Write-in","416,874","4251","3","193,615","219,005","0","416,874"
"66.00","Judge of the Circuit Court, 4th District, Position 21 (Vote for 1)","27","760","Rima Ghandour","416,874","222041","2","190,459","4,372","0","416,874"
"66.00","Judge of the Circuit Court, 4th District, Position 21 (Vote for 1)","27","770","Write-in","416,874","4372","2","190,459","222,041","0","416,874"
"68.00","Judge of the Circuit Court, 4th District, Position 33 (Vote for 1)","28","770","Pamela L Haan","416,874","220361","0","192,400","4,113","0","416,874"
"68.00","Judge of the Circuit Court, 4th District, Position 33 (Vote for 1)","28","780","Write-in","416,874","4113","0","192,400","220,361","0","416,874"
"70.00","Multnomah County Commissioner, District 1 (Vote for 1)","32","780","Meghan Moyer","120,221","55431","10","28,631","36,149","0","120,221"
"70.00","Multnomah County Commissioner, District 1 (Vote for 1)","32","790","Vadim Mozyrsky","120,221","35774","10","28,631","55,806","0","120,221"
"70.00","Multnomah County Commissioner, District 1 (Vote for 1)","32","800","Write-in","120,221","375","0","28,631","91,215","0","120,221"
"72.00","Multnomah County Commissioner, District 2 (Vote for 1)","33","810","Shannon Singleton","114,176","55467","28","17,337","41,344","0","114,176"
"72.00","Multnomah County Commissioner, District 2 (Vote for 1)","33","800","Sam Adams","114,176","40802","26","17,337","56,011","0","114,176"
"72.00","Multnomah County Commissioner, District 2 (Vote for 1)","33","820","Write-in","114,176","542","3","17,337","96,294","0","114,176"
"74.00","City of Lake Oswego, Mayor (Vote for 1)","10","820","Joe Buck","1,830","1294","0","505","31","0","1,830"
"74.00","City of Lake Oswego, Mayor (Vote for 1)","10","830","Write-in","1,830","31","0","505","1,294","0","1,830"
"76.00","City of Lake Oswego, Councilor (Vote for 3)","9","830","Rachel Verdick","1,830","1077","0","741","12","0","1,830"
"76.00","City of Lake Oswego, Councilor (Vote for 3)","9","840","Massene Mboup","1,830","1017","0","800","13","0","1,830"
"76.00","City of Lake Oswego, Councilor (Vote for 3)","9","850","Aaron Rapf","1,830","925","0","894","11","0","1,830"
"76.00","City of Lake Oswego, Councilor (Vote for 3)","9","860","Write-in","1,830","36","0","919","875","0","1,830"
"76.00","City of Lake Oswego, Councilor (Vote for 3)","9","870","Write-in","1,830","10","0","929","891","0","1,830"
"76.00","City of Lake Oswego, Councilor (Vote for 3)","9","880","Write-in","1,830","4","0","931","895","0","1,830"
"78.00","City of Milwaukie, Councilor, Position 1 (Vote for 1)","12","860","Adam Khosroabadi","0","0","0","0","0","0","0"
"78.00","City of Milwaukie, Councilor, Position 1 (Vote for 1)","12","870","Camden McKone","0","0","0","0","0","0","0"
"78.00","City of Milwaukie, Councilor, Position 1 (Vote for 1)","12","880","Write-in","0","0","0","0","0","0","0"
"80.00","City of Milwaukie, Councilor, Position 3 (Vote for 1)","13","880","Teresa A Bresaw","0","0","0","0","0","0","0"
"80.00","City of Milwaukie, Councilor, Position 3 (Vote for 1)","13","890","Will Anderson","0","0","0","0","0","0","0"
"80.00","City of Milwaukie, Councilor, Position 3 (Vote for 1)","13","900","Write-in","0","0","0","0","0","0","0"
"82.00","City of Fairview, Mayor (Vote for 1)","5","900","Keith A Kudrna","4,260","2562","0","1,593","105","0","4,260"
"82.00","City of Fairview, Mayor (Vote for 1)","5","910","Write-in","4,260","105","0","1,593","2,562","0","4,260"
"84.00","City of Fairview, Councilor, Position 1 (Vote for 1)","2","910","Jeff Dennerline","4,260","2356","0","1,823","81","0","4,260"
"84.00","City of Fairview, Councilor, Position 1 (Vote for 1)","2","920","Write-in","4,260","81","0","1,823","2,356","0","4,260"
"86.00","City of Fairview, Councilor, Position 2 (Vote for 1)","3","920","Steven Marker","4,260","2423","0","1,773","64","0","4,260"
"86.00","City of Fairview, Councilor, Position 2 (Vote for 1)","3","930","Write-in","4,260","64","0","1,773","2,423","0","4,260"
"88.00","City of Fairview, Councilor, Position 3 (Vote for 1)","4","930","E'an Todd","4,260","1596","0","1,283","1,381","0","4,260"
"88.00","City of Fairview, Councilor, Position 3 (Vote for 1)","4","940","Marsh M Santoro","4,260","1323","0","1,283","1,654","0","4,260"
"88.00","City of Fairview, Councilor, Position 3 (Vote for 1)","4","950","Write-in","4,260","58","0","1,283","2,919","0","4,260"
"100.00","City of Gresham, Councilor, Position 1 (Vote for 1)","6","950","Kayla Brown","45,418","20345","6","11,081","13,986","0","45,418"
"100.00","City of Gresham, Councilor, Position 1 (Vote for 1)","6","960","Jack Hollis","45,418","13681","6","11,081","20,650","0","45,418"
"100.00","City of Gresham, Councilor, Position 1 (Vote for 1)","6","970","Write-in","45,418","305","0","11,081","34,032","0","45,418"
"102.00","City of Gresham, Councilor, Position 3 (Vote for 1)","7","970","Cathy Vandehey Keathley","45,418","15192","7","11,374","18,845","0","45,418"
"102.00","City of Gresham, Councilor, Position 3 (Vote for 1)","7","980","Jacquenette Josefa McIntire","45,418","13115","7","11,374","20,922","0","45,418"
"102.00","City of Gresham, Councilor, Position 3 (Vote for 1)","7","990","Thomas Stanley","45,418","5408","5","11,374","28,631","0","45,418"
"102.00","City of Gresham, Councilor, Position 3 (Vote for 1)","7","1,000","Write-in","45,418","322","0","11,374","33,722","0","45,418"
"104.00","City of Gresham, Councilor, Position 5 (Vote for 1)","8","1,010","Sue Piazza","45,418","25129","10","12,096","8,183","0","45,418"
"104.00","City of Gresham, Councilor, Position 5 (Vote for 1)","8","1,000","Timothy O Youker","45,418","7800","10","12,096","25,512","0","45,418"
"104.00","City of Gresham, Councilor, Position 5 (Vote for 1)","8","1,020","Write-in","45,418","383","0","12,096","32,939","0","45,418"
"106.00","City of Maywood Park, Council Member (Vote for 3)","11","1,020","Aika Topolski","534","387","0","139","8","0","534"
"106.00","City of Maywood Park, Council Member (Vote for 3)","11","1,040","Michael Reynolds","534","374","0","141","19","0","534"
"106.00","City of Maywood Park, Council Member (Vote for 3)","11","1,030","Agnes Hall","534","317","0","160","57","0","534"
"106.00","City of Maywood Park, Council Member (Vote for 3)","11","1,050","Write-in","534","88","0","164","282","0","534"
"106.00","City of Maywood Park, Council Member (Vote for 3)","11","1,060","Write-in","534","8","0","177","349","0","534"
"106.00","City of Maywood Park, Council Member (Vote for 3)","11","1,070","Write-in","534","3","0","178","353","0","534"
"108.00","City of Troutdale, Mayor (Vote for 1)","15","1,060","David Ripma","8,152","3527","0","1,465","3,160","0","8,152"
"108.00","City of Troutdale, Mayor (Vote for 1)","15","1,050","Geoffrey Wunn","8,152","3115","0","1,465","3,572","0","8,152"
"108.00","City of Troutdale, Mayor (Vote for 1)","15","1,070","Write-in","8,152","45","0","1,465","6,642","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,090","Glenn White","8,152","2947","23","2,974","2,208","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,110","Carol Allen","8,152","2925","16","2,980","2,231","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,120","John Leamy","8,152","2217","14","3,055","2,866","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,170","Jesse D Davidson","8,152","1940","18","3,135","3,059","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,070","Paul Wilcox","8,152","1828","10","3,113","3,201","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,140","Robbie Cantrell","8,152","1762","7","3,150","3,233","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,160","Frank R Stevens","8,152","1619","13","3,103","3,417","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,150","Rip Caswell","8,152","1576","6","2,951","3,619","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,100","Bryce Bumgarner","8,152","1509","10","3,100","3,533","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,130","Matt Lawrence","8,152","1470","10","3,137","3,535","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,080","Jordan C Wittren","8,152","1394","10","3,190","3,558","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,180","Write-in","8,152","128","0","3,203","4,821","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,190","Write-in","8,152","45","0","3,247","4,860","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,200","Write-in","8,152","31","0","3,249","4,872","0","8,152"
"110.00","City of Troutdale, Councilor Member (Vote for 4)","14","1,210","Write-in","8,152","27","0","3,249","4,876","0","8,152"
"112.00","City of Wood Village, Councilor, Position 2 (Vote for 1)","16","1,180","Jairo Rios-Campos","1,300","812","0","450","38","0","1,300"
"112.00","City of Wood Village, Councilor, Position 2 (Vote for 1)","16","1,190","Write-in","1,300","38","0","450","812","0","1,300"
"114.00","City of Wood Village, Councilor, Position 3 (Vote for 1)","17","1,190","Dara Tan","1,300","783","0","482","35","0","1,300"
"114.00","City of Wood Village, Councilor, Position 3 (Vote for 1)","17","1,200","Write-in","1,300","35","0","482","783","0","1,300"
"116.00","City of Wood Village, Councilor, Position 5 (Vote for 1)","18","1,200","Patricia Smith","1,300","774","0","496","30","0","1,300"
"116.00","City of Wood Village, Councilor, Position 5 (Vote for 1)","18","1,210","Write-in","1,300","30","0","496","774","0","1,300"
"118.00","East Multnomah Soil and Water Conservation Director At Large (Vote for 1)","19","1,220","Ramona DeNies","330,325","132481","24","117,872","79,948","0","330,325"
"118.00","East Multnomah Soil and Water Conservation Director At Large (Vote for 1)","19","1,210","James Carlson","330,325","77796","25","117,872","134,632","0","330,325"
"118.00","East Multnomah Soil and Water Conservation Director At Large (Vote for 1)","19","1,230","Write-in","330,325","2150","3","117,872","210,300","0","330,325"
"120.00","East Multnomah Soil and Water Conservation Director Zone 1 (Vote for 1)","20","1,230","Mary C Colombo","330,325","171990","3","155,260","3,072","0","330,325"
"120.00","East Multnomah Soil and Water Conservation Director Zone 1 (Vote for 1)","20","1,240","Write-in","330,325","3072","3","155,260","171,990","0","330,325"
"122.00","East Multnomah Soil and Water Conservation Director Zone 2 (Vote for 1)","21","1,240","Laura Masterson","330,325","166182","4","160,955","3,184","0","330,325"
"122.00","East Multnomah Soil and Water Conservation Director Zone 2 (Vote for 1)","21","1,250","Write-in","330,325","3184","4","160,955","166,182","0","330,325"
"124.00","West Multnomah Soil and Water Conservation Director At Large (Vote for 1)","69","1,250","Michael Oliver","86,549","45184","0","40,787","578","0","86,549"
"124.00","West Multnomah Soil and Water Conservation Director At Large (Vote for 1)","69","1,260","Write-in","86,549","578","0","40,787","45,184","0","86,549"
"126.00","West Multnomah Soil and Water Conservation Director Zone 1 (Vote for 1)","70","1,260","Jan Robert Hamer","86,549","42920","0","43,113","516","0","86,549"
"126.00","West Multnomah Soil and Water Conservation Director Zone 1 (Vote for 1)","70","1,270","Write-in","86,549","516","0","43,113","42,920","0","86,549"
"128.00","West Multnomah Soil and Water Conservation Director Zone 2 (Vote for 1)","71","20","Write-in","86,549","6160","0","80,389","0","0","86,549"
"130.00","West Multnomah Soil and Water Conservation Director Zone 3 (Vote for 1)","72","1,270","George A Sowder","86,549","42524","0","43,498","527","0","86,549"
"130.00","West Multnomah Soil and Water Conservation Director Zone 3 (Vote for 1)","72","1,280","Write-in","86,549","527","0","43,498","42,524","0","86,549"
"132.00","Interlachen Water People's Utility District, Director, 1 (Vote for 1)","22","1,290","Rob Johnson","52","34","0","16","2","0","52"
"132.00","Interlachen Water People's Utility District, Director, 1 (Vote for 1)","22","1,300","Write-in","52","2","0","16","34","0","52"
"134.00","Interlachen Water People's Utility District, Director, 3 (Vote for 1)","23","1,300","Michael Vest","64","57","0","7","0","0","64"
"134.00","Interlachen Water People's Utility District, Director, 3 (Vote for 1)","23","1,310","Write-in","64","0","0","7","57","0","64"
"136.00","Interlachen Water People's Utility District, Director, 4 (Vote for 1)","24","1,310","Thomas E Caufield","46","32","0","11","3","0","46"
"136.00","Interlachen Water People's Utility District, Director, 4 (Vote for 1)","24","1,320","Write-in","46","3","0","11","32","0","46"
"138.00","Interlachen Water People's Utility District, Director, 5 (Vote for 1)","25","1,280","Dave Richardson","52","33","0","19","0","0","52"
"138.00","Interlachen Water People's Utility District, Director, 5 (Vote for 1)","25","1,290","Write-in","52","0","0","19","33","0","52"
"140.00","Rockwood Water People's Utility District, Director, 1 (Vote for 1)","40","1,320","Thomas W Lewis","4,415","2156","0","2,187","72","0","4,415"
"140.00","Rockwood Water People's Utility District, Director, 1 (Vote for 1)","40","1,330","Write-in","4,415","72","0","2,187","2,156","0","4,415"
"142.00","Rockwood Water People's Utility District, Director, 3 (Vote for 1)","41","1,330","Cori Johnson","4,865","2727","0","2,051","87","0","4,865"
"142.00","Rockwood Water People's Utility District, Director, 3 (Vote for 1)","41","1,340","Write-in","4,865","87","0","2,051","2,727","0","4,865"
"144.00","Rockwood Water People's Utility District, Director, 4 (Vote for 1)","42","1,340","Steve Okazaki","4,850","2334","0","2,461","55","0","4,850"
"144.00","Rockwood Water People's Utility District, Director, 4 (Vote for 1)","42","1,350","Write-in","4,850","55","0","2,461","2,334","0","4,850"
"146.00","Urban Flood Safety and Water Quality District, Position 1 (Vote for 1)","34","1,350","Lori Stegmann","410,003","214845","4","191,059","4,095","0","410,003"
"146.00","Urban Flood Safety and Water Quality District, Position 1 (Vote for 1)","34","1,360","Write-in","410,003","4095","4","191,059","214,845","0","410,003"
"148.00","Urban Flood Safety and Water Quality District, Position 2 (Vote for 1)","35","1,370","Ariana Johnson","410,003","180034","27","177,134","52,808","0","410,003"
