PRESIDENT,Precinct,Voters,Trnout,Pct,HARRY BROWNE (LIB),PATRICK J. BUCHANAN (IND),GEORGE W. BUSH (REP),AL GORE (DEM),JOHN HAGELIN (REF),RALPH NADER (PAC),HOWARD PHILLIPS (CON),Under Votes,Over Votes,Write-ins,,
,4065,5006,3959,79.09%,2506,604,60,596,175,11,7,,,,,
,4106,3615,2979,82.41%,1925,480,51,402,109,6,6,,,,,
,4111,3585,3081,85.94%,1914,308,36,710,103,9,1,,,,,
,4125,3850,2798,72.68%,1360,132,47,1116,132,8,3,,,,,
,4131,3243,2625,80.94%,1613,259,39,593,114,6,1,,,,,
,4155,3806,2963,77.85%,1774,256,45,727,146,13,2,,,,,
,4167,2217,1704,76.86%,1054,207,27,339,71,4,2,,,,,
,4178,4403,3269,74.24%,1961,303,48,833,117,6,1,,,,,
,4185,2985,2205,73.87%,1293,159,42,611,89,9,2,,,,,
,4202,3421,2553,74.63%,1410,232,47,751,102,9,2,,,,,
,4216,4350,2836,65.2%,1543,186,62,887,138,10,10,,,,,
,4242,4437,3577,80.62%,2270,326,62,744,164,8,3,,,,,
,4250,4384,3561,81.23%,2201,327,48,830,139,11,5,,,,,
,4254,3140,2500,79.62%,1456,287,37,551,157,9,3,,,,,
,4282,2707,2400,88.66%,1557,114,32,579,111,6,1,,,,,
,4295,3080,2556,82.99%,1623,317,35,475,95,8,3,,,,,
,4299,3610,2475,68.56%,1358,163,43,777,124,6,4,,,,,
,4309,2163,1674,77.39%,805,45,23,713,85,2,1,,,,,
,4320,3640,2661,73.1%,1339,132,36,980,157,13,4,,,,,
,4333,3442,2556,74.26%,1317,119,45,950,113,6,6,,,,,
,4338,2457,1799,73.22%,923,69,26,695,83,2,1,,,,,
,4339,3088,2146,69.49%,1077,90,41,826,104,5,3,,,,,
,4340,2215,1571,70.93%,844,80,25,537,68,14,3,,,,,
,4344,2757,2023,73.38%,1034,74,33,753,126,3,0,,,,,
,4345,3858,2881,74.68%,1438,116,35,1142,133,8,9,,,,,
,4350,3287,2510,76.36%,1300,87,32,982,99,7,3,,,,,
,4352,3218,2219,68.96%,1133,82,41,856,95,7,5,,,,,
,4359,2001,1568,78.36%,754,64,24,655,65,5,1,,,,,
,4360,2430,1713,70.49%,921,90,31,569,95,2,5,,,,,
,4361,3751,2691,71.74%,1353,119,34,1034,144,6,1,,,,,
,5029,562,486,86.48%,246,13,2,199,25,1,0,,,,,
,5100,3027,2209,72.98%,1110,50,38,928,78,4,1,,,,,
,5200,4071,3062,75.21%,1333,82,48,1449,141,6,3,,,,,
,5201,3224,2650,82.2%,1202,79,42,1218,97,9,3,,,,,
,5301,1445,1038,71.83%,487,42,17,435,48,5,4,,,,,
,5401,300,265,88.33%,139,9,1,103,12,1,0,,,,,
,5425,2690,2153,80.04%,894,114,49,1013,77,4,2,,,,,
,5602,513,401,78.17%,160,13,7,211,10,0,0,,,,,
,5603,401,305,76.06%,119,13,5,154,13,0,1,,,,,
,5604,1807,1511,83.62%,603,59,23,770,45,10,1,,,,,
,5819,4047,2981,73.66%,1495,102,47,1203,119,9,6,,,,,
,5820,3953,3001,75.92%,1442,74,22,1296,159,4,4,,,,,
,5828,3038,2094,68.93%,996,77,29,887,92,8,5,,,,,
,5842,4376,3566,81.49%,1649,87,45,1634,145,4,2,,,,,
,5846,4030,3274,81.24%,1366,66,35,1663,134,9,1,,,,,
,5850,3547,2507,70.68%,1168,78,33,1114,106,6,2,,,,,
,5851,4022,3143,78.15%,1395,68,26,1518,122,11,3,,,,,
,5853,3461,2665,77%,1276,81,22,1154,120,8,4,,,,,
,5855,3683,3083,83.71%,1399,57,24,1460,137,5,1,,,,,
,5861,2616,2049,78.33%,1001,57,35,867,87,1,1,,,,,
,5868,2630,2025,77%,937,54,31,915,83,3,2,,,,,
,5870,3490,2530,72.49%,1218,87,38,1039,131,7,10,,,,,
,5871,2397,1591,66.37%,829,75,30,579,72,4,2,,,,,
,TOTAL,383915,299776,78.08%,175393,21716,4378,84406,12623,919,341,,,,,
STATE TREASURER,Precinct,Voters,Trnout,Pct,RANDALL EDWARDS (DEM),JON KVISTAD (REP),CARLOS F. LUCERO (CON),MITCHELL T. SHULTS (LIB),LEONARD ZACK (REF),Under Votes,Over Votes,Write-ins,,,,
,103,13,9,69.23%,6,1,0,1,0,1,0,0,,,,
,104,15,12,80%,9,2,0,0,0,1,0,0,,,,
,141,53,42,79.25%,18,20,0,0,0,4,0,0,,,,
,156,71,67,94.37%,34,25,1,1,0,6,0,0,,,,
,157,22,22,100%,12,6,0,3,0,0,1,0,,,,
,158,181,165,91.16%,75,73,0,5,0,12,0,0,,,,
,159,155,146,94.19%,85,41,1,3,1,15,0,0,,,,
,332,194,106,54.64%,57,27,2,8,4,7,0,1,,,,
,432,209,141,67.46%,70,51,2,6,2,10,0,0,,,,
,433,238,164,68.91%,82,64,1,4,2,9,0,2,,,,
,521,80,62,77.5%,23,30,2,0,1,6,0,0,,,,
,542,9,7,77.78%,4,3,0,0,0,0,0,0,,,,
,543,26,11,42.31%,8,2,0,0,0,0,0,1,,,,
,546,125,83,66.4%,49,18,3,7,3,3,0,0,,,,
,547,2,2,100%,1,0,1,0,0,0,0,0,,,,
,548,38,22,57.89%,11,8,1,0,1,1,0,0,,,,
,590,42,24,57.14%,12,9,0,0,0,3,0,0,,,,
,601,0,0,0%,0,0,0,0,0,0,0,0,,,,
,1002,846,718,84.87%,414,167,10,40,20,65,1,1,,,,
,1013,4798,4106,85.58%,2791,735,19,134,75,341,7,4,,,,
,1025,4652,3512,75.49%,2398,425,34,175,125,342,2,11,,,,
,1045,226,205,90.71%,122,59,0,12,0,12,0,0,,,,
,1053,3531,2200,62.31%,1407,357,37,128,72,186,2,11,,,,
,1103,4013,3063,76.33%,1953,543,17,158,102,279,2,9,,,,
,1156,3258,2847,87.38%,1784,716,3,93,43,200,6,2,,,,
,1170,4159,3619,87.02%,2177,952,13,129,46,296,4,2,,,,
,1183,2855,2312,80.98%,1437,522,11,88,40,200,8,6,,,,
,1205,4235,3517,83.05%,2188,788,32,142,64,289,5,9,,,,
,1211,2212,1896,85.71%,1221,411,9,64,37,153,1,0,,,,
,1213,1408,1190,84.52%,683,323,5,36,22,114,2,5,,,,
,1222,4249,3702,87.13%,2300,930,19,108,61,281,1,2,,,,
,1224,3432,3059,89.13%,1922,743,17,98,24,245,4,6,,,,
,1226,3298,2871,87.05%,1785,743,20,72,26,218,7,0,,,,
,1230,4294,3673,85.54%,2269,904,13,112,47,316,5,7,,,,
,1238,4218,3514,83.31%,1890,1082,22,153,73,286,6,2,,,,
,1240,753,682,90.57%,438,169,2,26,6,39,2,0,,,,
,1245,4725,4027,85.23%,2519,958,22,145,67,305,4,7,,,,
,1315,2949,2306,78.2%,1424,512,18,110,57,173,4,8,,,,
,1321,1884,1657,87.95%,839,624,7,61,6,114,6,0,,,,
,1400,1389,1169,84.16%,588,435,9,45,13,77,1,1,,,,
,1402,422,351,83.18%,178,131,1,16,3,22,0,0,,,,
,1500,439,378,86.1%,197,126,1,13,5,36,0,0,,,,
,1504,1610,1367,84.91%,697,460,16,68,32,89,1,4,,,,
,1505,686,579,84.4%,271,218,9,25,7,46,0,3,,,,
,1507,348,316,90.8%,175,107,0,13,3,17,1,0,,,,
,1515,1079,976,90.45%,518,363,1,39,5,47,1,2,,,,
,1546,1118,1004,89.8%,453,464,1,29,8,49,0,0,,,,
,2002,4037,2650,65.64%,1652,529,54,121,90,185,9,10,,,,
,2026,4000,2653,66.33%,1753,468,53,117,68,176,7,11,,,,
,2029,3566,2586,72.52%,1708,459,42,91,72,196,5,13,,,,
,2077,4831,3640,75.35%,2266,738,59,160,92,306,8,11,,,,
,2086,4299,3159,73.48%,2180,473,49,116,79,246,9,7,,,,
,2099,3501,2379,67.95%,1788,185,36,93,72,186,8,11,,,,
,2100,4047,3219,79.54%,2070,624,41,132,69,268,5,10,,,,
,2114,3688,2882,78.15%,1981,450,36,135,74,191,6,9,,,,
,2143,2598,1979,76.17%,1092,604,21,77,54,125,3,3,,,,
,3000,3562,2645,74.26%,1579,614,34,108,62,233,6,9,,,,
,3002,2692,2064,76.67%,1268,454,25,81,37,185,3,11,,,,
,3004,2988,2034,68.07%,1487,226,17,86,49,154,7,8,,,,
,3008,3437,2726,79.31%,1930,427,30,75,62,193,1,8,,,,
,3058,4991,3693,73.99%,2597,463,44,158,113,296,8,14,,,,
,3086,2724,2020,74.16%,1304,405,22,65,43,173,5,3,,,,
,3097,3966,2963,74.71%,2301,226,36,86,71,225,7,11,,,,
,3113,3238,2879,88.91%,2024,491,15,81,44,218,1,5,,,,
,3128,3853,3393,88.06%,2312,635,17,90,44,290,4,1,,,,
,3144,3833,3407,88.89%,2488,527,18,80,32,248,8,6,,,,
,3151,5088,3622,71.19%,2800,235,39,127,132,256,9,24,,,,
,3177,4140,3440,83.09%,2169,738,28,99,51,340,8,7,,,,
,3185,2754,2156,78.29%,1087,721,30,73,33,198,8,6,,,,
,3193,4348,3622,83.3%,2424,654,32,111,65,319,9,8,,,,
,3240,4680,3647,77.93%,2292,778,41,141,86,280,15,14,,,,
,3248,2630,2107,80.11%,1383,387,18,85,64,157,6,7,,,,
,3253,1285,979,76.19%,703,133,11,23,25,82,1,1,,,,
,3259,4560,3831,84.01%,2666,603,24,120,84,322,7,5,,,,
,3274,3721,2938,78.96%,2036,284,36,165,145,246,6,20,,,,
,3290,3628,3212,88.53%,2287,569,16,75,43,217,1,4,,,,
,3297,1623,1153,71.04%,700,256,11,50,28,103,2,3,,,,
,3307,3317,2658,80.13%,1343,951,21,78,28,224,4,9,,,,
,3311,3293,2463,74.8%,1256,759,30,101,61,243,3,10,,,,
,3315,2336,1658,70.98%,882,477,36,74,34,141,5,9,,,,
,3322,1584,1259,79.48%,633,479,11,26,10,97,1,2,,,,
,3327,2117,1625,76.76%,864,480,31,48,28,165,2,7,,,,
,3329,3650,2983,81.73%,1500,1041,43,117,41,233,2,6,,,,
,3330,3490,2724,78.05%,1391,972,21,63,47,222,2,6,,,,
,4009,2727,2234,81.92%,1658,160,13,104,97,188,5,9,,,,
,4022,3891,2907,74.71%,1994,254,36,191,143,272,7,10,,,,
,4027,2315,1851,79.96%,1364,119,26,98,82,147,6,9,,,,
,4041,5109,4383,85.79%,3172,525,30,155,124,353,13,11,,,,
,4049,3743,2810,75.07%,1986,305,36,164,100,205,6,8,,,,
,4065,5006,3959,79.09%,2725,478,47,179,152,356,4,18,,,,
,4106,3615,2979,82.41%,2082,363,29,126,128,236,3,12,,,,
,4111,3585,3081,85.94%,2095,573,28,94,72,205,5,9,,,,
,4125,3850,2798,72.68%,1400,865,68,91,83,264,4,23,,,,
,4131,3243,2625,80.94%,1728,458,33,100,78,215,5,8,,,,
,4155,3806,2963,77.85%,1949,580,34,86,64,239,6,5,,,,
,4167,2217,1704,76.86%,1128,277,21,87,60,123,4,4,,,,
,4178,4403,3269,74.24%,2011,686,48,119,125,264,7,9,,,,
,4185,2985,2205,73.87%,1358,453,33,97,74,178,5,7,,,,
,4202,3421,2553,74.63%,1536,583,27,114,71,217,1,4,,,,
,4216,4350,2836,65.2%,1601,695,47,142,97,232,5,17,,,,
,4242,4437,3577,80.62%,2399,641,30,138,79,272,7,11,,,,
,4250,4384,3561,81.23%,2263,702,38,133,112,298,5,10,,,,
,4254,3140,2500,79.62%,1582,486,18,118,73,211,6,6,,,,
,4282,2707,2400,88.66%,1507,568,11,72,25,210,5,2,,,,
,4295,3080,2556,82.99%,1755,402,17,88,84,197,7,6,,,,
,4299,3610,2475,68.56%,1403,584,59,116,94,210,2,7,,,,
,4309,2163,1674,77.39%,787,611,10,62,35,166,2,1,,,,
,4320,3640,2661,73.1%,1403,765,43,103,62,273,6,6,,,,
,4333,3442,2556,74.26%,1345,765,33,97,63,237,4,12,,,,
,4338,2457,1799,73.22%,960,538,26,64,47,158,3,3,,,,
,4339,3088,2146,69.49%,1113,650,32,85,38,215,6,7,,,,
,4340,2215,1571,70.93%,874,395,26,75,43,146,6,6,,,,
,4344,2757,2023,73.38%,1074,633,28,78,38,167,0,5,,,,
,4345,3858,2881,74.68%,1484,895,46,99,73,265,4,15,,,,
,4350,3287,2510,76.36%,1375,760,23,70,51,222,4,5,,,,
,4352,3218,2219,68.96%,1149,671,43,81,61,208,1,5,,,,
,4359,2001,1568,78.36%,808,517,23,56,18,141,3,2,,,,
,4360,2430,1713,70.49%,952,434,39,78,49,151,3,7,,,,
,4361,3751,2691,71.74%,1424,815,60,93,52,236,2,9,,,,
,5029,562,486,86.48%,254,159,6,15,9,41,0,2,,,,
,5100,3027,2209,72.98%,1114,764,31,76,39,175,5,5,,,,
,5200,4071,3062,75.21%,1340,1221,44,101,65,282,3,6,,,,
,5201,3224,2650,82.2%,1210,1054,27,75,58,214,7,5,,,,
,5301,1445,1038,71.83%,537,307,20,35,28,105,3,3,,,,
,5401,300,265,88.33%,141,88,0,4,5,26,0,1,,,,
,5425,2690,2153,80.04%,904,865,33,111,32,199,3,6,,,,
,5602,513,401,78.17%,161,179,7,13,1,38,1,1,,,,
,5603,401,305,76.06%,127,120,2,11,7,35,1,2,,,,
,5604,1807,1511,83.62%,615,667,21,40,30,131,1,6,,,,
,5819,4047,2981,73.66%,1595,905,53,107,52,252,7,10,,,,
,5820,3953,3001,75.92%,1498,1046,37,67,66,278,2,7,,,,
,5828,3038,2094,68.93%,1046,704,31,70,51,184,2,6,,,,
,5842,4376,3566,81.49%,1642,1379,31,130,55,325,4,0,,,,
,5846,4030,3274,81.24%,1384,1406,43,96,44,290,3,8,,,,
,5850,3547,2507,70.68%,1224,866,30,90,59,223,6,9,,,,
,5851,4022,3143,78.15%,1393,1288,47,85,51,265,5,9,,,,
,5853,3461,2665,77%,1286,976,27,76,44,244,3,9,,,,
,5855,3683,3083,83.71%,1439,1192,26,61,44,310,5,6,,,,
,5861,2616,2049,78.33%,1013,725,27,54,42,184,1,3,,,,
,5868,2630,2025,77%,937,753,28,79,21,199,3,5,,,,
,5870,3490,2530,72.49%,1294,794,37,87,54,248,2,14,,,,
,5871,2397,1591,66.37%,866,438,32,74,40,132,4,5,,,,
,TOTAL,383915,299776,78.08%,180254,71964,3311,11108,6879,24911,518,831,,,,
ATTORNEY GENERAL,Precinct,Voters,Trnout,Pct,THOMAS B. COX (LIB),KEVIN L. MANNIX (REP),HARDY MYERS (DEM),Under Votes,Over Votes,Write-ins,,,,,,
,103,13,9,69.23%,1,1,6,1,0,0,,,,,,
,104,15,12,80%,0,2,9,1,0,0,,,,,,
,141,53,42,79.25%,1,18,20,3,0,0,,,,,,
,156,71,67,94.37%,0,24,39,4,0,0,,,,,,
,157,22,22,100%,2,6,14,0,0,0,,,,,,
,158,181,165,91.16%,5,61,91,7,1,0,,,,,,
,159,155,146,94.19%,2,39,94,11,0,0,,,,,,
,332,194,106,54.64%,3,45,53,3,1,1,,,,,,
,432,209,141,67.46%,7,64,63,7,0,0,,,,,,
,433,238,164,68.91%,3,66,90,4,0,1,,,,,,
,521,80,62,77.5%,1,32,25,4,0,0,,,,,,
,542,9,7,77.78%,0,3,4,0,0,0,,,,,,
,543,26,11,42.31%,0,6,3,1,0,1,,,,,,
,546,125,83,66.4%,5,23,54,1,0,0,,,,,,
,547,2,2,100%,0,1,1,0,0,0,,,,,,
,548,38,22,57.89%,1,9,10,2,0,0,,,,,,
,590,42,24,57.14%,1,9,10,4,0,0,,,,,,
,601,0,0,0%,0,0,0,0,0,0,,,,,,
,1002,846,718,84.87%,39,182,457,39,0,1,,,,,,
,1013,4798,4106,85.58%,144,714,2983,258,4,3,,,,,,
,1025,4652,3512,75.49%,227,477,2522,266,9,11,,,,,,
,1045,226,205,90.71%,8,62,125,9,0,1,,,,,,
,1053,3531,2200,62.31%,170,415,1445,156,3,11,,,,,,
,1103,4013,3063,76.33%,187,635,2011,216,9,5,,,,,,
,1156,3258,2847,87.38%,75,673,1937,158,3,1,,,,,,
,1170,4159,3619,87.02%,81,962,2351,218,6,1,,,,,,
,1183,2855,2312,80.98%,89,553,1505,160,3,2,,,,,,
,1205,4235,3517,83.05%,128,855,2302,219,6,7,,,,,,
,1211,2212,1896,85.71%,47,452,1269,125,2,1,,,,,,
,1213,1408,1190,84.52%,54,322,724,85,4,1,,,,,,
,1222,4249,3702,87.13%,90,988,2424,194,3,3,,,,,,
,1224,3432,3059,89.13%,56,720,2093,185,4,1,,,,,,
,1226,3298,2871,87.05%,56,764,1887,159,2,3,,,,,,
,1230,4294,3673,85.54%,113,961,2365,224,4,6,,,,,,
,1238,4218,3514,83.31%,130,1176,1967,224,12,5,,,,,,
,1240,753,682,90.57%,20,170,465,25,2,0,,,,,,
,1245,4725,4027,85.23%,149,1075,2564,232,4,3,,,,,,
,1315,2949,2306,78.2%,125,557,1465,150,2,7,,,,,,
,1321,1884,1657,87.95%,19,655,874,102,7,0,,,,,,
,1400,1389,1169,84.16%,24,458,622,63,2,0,,,,,,
,1402,422,351,83.18%,14,129,191,17,0,0,,,,,,
,1500,439,378,86.1%,14,132,206,26,0,0,,,,,,
,1504,1610,1367,84.91%,64,499,726,75,1,2,,,,,,
,1505,686,579,84.4%,22,254,265,35,2,1,,,,,,
,1507,348,316,90.8%,3,101,199,12,1,0,,,,,,
,1515,1079,976,90.45%,13,350,567,46,0,0,,,,,,
,1546,1118,1004,89.8%,21,409,526,46,2,0,,,,,,
,2002,4037,2650,65.64%,132,713,1639,148,10,8,,,,,,
,2026,4000,2653,66.33%,126,666,1698,142,9,12,,,,,,
,2029,3566,2586,72.52%,133,604,1667,161,10,11,,,,,,
,2077,4831,3640,75.35%,157,1007,2212,236,14,14,,,,,,
,2086,4299,3159,73.48%,130,609,2191,204,15,10,,,,,,
,2099,3501,2379,67.95%,133,262,1800,167,11,6,,,,,,
,2100,4047,3219,79.54%,133,826,2043,202,8,7,,,,,,
,2114,3688,2882,78.15%,133,577,2014,148,2,8,,,,,,
,2143,2598,1979,76.17%,79,683,1118,95,3,1,,,,,,
,3000,3562,2645,74.26%,113,817,1544,160,5,6,,,,,,
,3002,2692,2064,76.67%,76,587,1262,131,1,7,,,,,,
,3004,2988,2034,68.07%,83,287,1530,117,7,10,,,,,,
,3008,3437,2726,79.31%,96,512,1947,158,6,7,,,,,,
,3058,4991,3693,73.99%,182,576,2678,231,16,10,,,,,,
,3086,2724,2020,74.16%,72,497,1301,143,6,1,,,,,,
,3097,3966,2963,74.71%,132,307,2338,171,7,8,,,,,,
,3113,3238,2879,88.91%,57,538,2123,152,4,5,,,,,,
,3128,3853,3393,88.06%,77,718,2410,183,5,0,,,,,,
,3144,3833,3407,88.89%,54,538,2650,157,2,6,,,,,,
,3151,5088,3622,71.19%,183,276,2898,238,3,24,,,,,,
,3177,4140,3440,83.09%,93,874,2256,201,10,6,,,,,,
,3185,2754,2156,78.29%,76,896,1038,133,10,3,,,,,,
,3193,4348,3622,83.3%,108,761,2538,201,10,4,,,,,,
,3240,4680,3647,77.93%,147,1034,2256,193,8,9,,,,,,
,3248,2630,2107,80.11%,88,500,1396,111,6,6,,,,,,
,3253,1285,979,76.19%,30,146,734,63,5,1,,,,,,
,3259,4560,3831,84.01%,121,641,2817,238,6,8,,,,,,
,3274,3721,2938,78.96%,223,331,2172,187,8,17,,,,,,
,3290,3628,3212,88.53%,76,552,2450,129,2,3,,,,,,
,3297,1623,1153,71.04%,55,330,690,71,5,2,,,,,,
,3307,3317,2658,80.13%,63,1112,1335,139,7,2,,,,,,
,3311,3293,2463,74.8%,99,986,1214,158,3,3,,,,,,
,3315,2336,1658,70.98%,62,686,794,102,6,8,,,,,,
,3322,1584,1259,79.48%,9,567,601,78,3,1,,,,,,
,3327,2117,1625,76.76%,46,635,820,119,3,2,,,,,,
,3329,3650,2983,81.73%,78,1301,1444,152,2,6,,,,,,
,3330,3490,2724,78.05%,62,1181,1332,143,4,2,,,,,,
,4009,2727,2234,81.92%,158,224,1692,152,2,6,,,,,,
,4022,3891,2907,74.71%,261,317,2112,204,5,8,,,,,,
,4027,2315,1851,79.96%,150,154,1414,123,2,8,,,,,,
,4041,5109,4383,85.79%,193,627,3275,275,2,11,,,,,,
,4049,3743,2810,75.07%,216,393,2023,158,7,13,,,,,,
,4065,5006,3959,79.09%,229,628,2811,270,4,17,,,,,,
,4106,3615,2979,82.41%,167,435,2183,176,3,15,,,,,,
,4111,3585,3081,85.94%,98,710,2114,151,4,4,,,,,,
,4125,3850,2798,72.68%,120,1176,1309,183,3,7,,,,,,
,4131,3243,2625,80.94%,105,628,1723,157,7,5,,,,,,
,4155,3806,2963,77.85%,132,772,1881,170,1,7,,,,,,
,4167,2217,1704,76.86%,103,354,1141,95,6,5,,,,,,
,4178,4403,3269,74.24%,176,869,2024,189,8,3,,,,,,
,4185,2985,2205,73.87%,116,668,1277,131,6,7,,,,,,
,4202,3421,2553,74.63%,124,806,1469,150,3,1,,,,,,
,4216,4350,2836,65.2%,172,961,1504,174,8,17,,,,,,
,4242,4437,3577,80.62%,132,806,2440,185,5,9,,,,,,
,4250,4384,3561,81.23%,155,876,2303,218,4,5,,,,,,
,4254,3140,2500,79.62%,121,565,1627,171,6,10,,,,,,
,4282,2707,2400,88.66%,55,607,1595,138,3,2,,,,,,
,4295,3080,2556,82.99%,114,486,1812,132,7,5,,,,,,
,4299,3610,2475,68.56%,137,796,1356,176,3,7,,,,,,
,4309,2163,1674,77.39%,47,754,758,114,1,0,,,,,,
,4320,3640,2661,73.1%,115,1032,1292,205,13,4,,,,,,
,4333,3442,2556,74.26%,90,999,1279,177,4,7,,,,,,
,4338,2457,1799,73.22%,72,776,845,98,4,4,,,,,,
,4339,3088,2146,69.49%,86,856,1039,151,8,6,,,,,,
,4340,2215,1571,70.93%,71,573,833,86,5,3,,,,,,
,4344,2757,2023,73.38%,90,854,962,106,7,4,,,,,,
,4345,3858,2881,74.68%,117,1194,1385,169,5,11,,,,,,
,4350,3287,2510,76.36%,78,989,1293,143,5,2,,,,,,
,4352,3218,2219,68.96%,95,905,1075,131,5,8,,,,,,
,4359,2001,1568,78.36%,55,684,724,96,7,2,,,,,,
,4360,2430,1713,70.49%,91,632,867,113,5,5,,,,,,
,4361,3751,2691,71.74%,105,1067,1326,182,8,3,,,,,,
,5029,562,486,86.48%,5,191,268,21,0,1,,,,,,
,5100,3027,2209,72.98%,66,979,1049,105,8,2,,,,,,
,5200,4071,3062,75.21%,97,1570,1210,178,4,3,,,,,,
,5201,3224,2650,82.2%,63,1307,1113,153,9,5,,,,,,
,5301,1445,1038,71.83%,40,460,469,67,1,1,,,,,,
,5401,300,265,88.33%,1,111,138,14,1,0,,,,,,
,5425,2690,2153,80.04%,103,1010,906,123,8,3,,,,,,
,5602,513,401,78.17%,14,201,164,22,0,0,,,,,,
,5603,401,305,76.06%,9,137,130,26,1,2,,,,,,
,5604,1807,1511,83.62%,38,837,557,77,0,2,,,,,,
,5819,4047,2981,73.66%,111,1287,1389,174,10,10,,,,,,
,5820,3953,3001,75.92%,74,1352,1356,208,7,4,,,,,,
,5828,3038,2094,68.93%,59,957,937,128,6,7,,,,,,
,5842,4376,3566,81.49%,73,1711,1564,209,8,1,,,,,,
,5846,4030,3274,81.24%,89,1721,1265,192,6,1,,,,,,
,5850,3547,2507,70.68%,76,1164,1096,158,6,7,,,,,,
,5851,4022,3143,78.15%,77,1575,1299,175,9,8,,,,,,
,5853,3461,2665,77%,65,1187,1235,169,5,4,,,,,,
,5855,3683,3083,83.71%,54,1505,1323,192,6,3,,,,,,
,5861,2616,2049,78.33%,56,965,889,133,5,1,,,,,,
,5868,2630,2025,77%,66,935,903,113,6,2,,,,,,
,5870,3490,2530,72.49%,86,1060,1183,180,6,15,,,,,,
,5871,2397,1591,66.37%,72,604,810,95,6,4,,,,,,
,TOTAL,383915,299776,78.08%,11671,88241,180589,18000,635,640,,,,,,
STATE SENATOR DIST 6,Precinct,Voters,Trnout,Pct,GINNY BURDICK (DEM),Under Votes,Over Votes,Write-ins,,,,,,,,
,103,13,9,69.23%,6,3,0,0,,,,,,,,
,141,53,42,79.25%,23,19,0,0,,,,,,,,
,156,71,67,94.37%,37,28,0,2,,,,,,,,
,1013,4798,4106,85.58%,2817,1211,0,78,,,,,,,,
,1025,4652,3512,75.49%,2503,922,2,85,,,,,,,,
,1053,3531,2200,62.31%,1548,575,1,76,,,,,,,,
,1103,4013,3063,76.33%,2073,907,0,83,,,,,,,,
,1156,3258,2847,87.38%,1898,899,1,49,,,,,,,,
,1170,4159,3619,87.02%,2325,1223,0,71,,,,,,,,
,1183,2855,2312,80.98%,1520,736,1,55,,,,,,,,
,1205,4235,3517,83.05%,2350,1070,3,94,,,,,,,,
,1211,2212,1896,85.71%,1272,580,1,43,,,,,,,,
,1213,1408,1190,84.52%,739,418,1,32,,,,,,,,
,1222,4249,3702,87.13%,2446,1170,1,85,,,,,,,,
,1224,3432,3059,89.13%,2037,963,0,59,,,,,,,,
,1226,3298,2871,87.05%,1891,917,1,62,,,,,,,,
,1230,4294,3673,85.54%,2444,1152,2,75,,,,,,,,
,1238,4218,3514,83.31%,2206,1189,3,116,,,,,,,,
,1245,4725,4027,85.23%,2681,1240,0,106,,,,,,,,
,1315,2949,2306,78.2%,1563,685,0,58,,,,,,,,
,1400,1389,1169,84.16%,705,448,0,16,,,,,,,,
,1402,422,351,83.18%,201,141,0,9,,,,,,,,
,1515,1079,976,90.45%,579,376,0,21,,,,,,,,
,1546,1118,1004,89.8%,547,425,0,32,,,,,,,,
,4295,3080,2556,82.99%,1740,754,0,62,,,,,,,,
,TOTAL,69511,57588,82.85%,38151,18051,17,1369,,,,,,,,
STATE SENATOR 7TH DISTRICT,Precinct,Voters,Trnout,Pct,KATE BROWN (DEM),CHARLEY J. NIMS (SOC),Under Votes,Over Votes,Write-ins,,,,,,,
,601,0,0,0%,0,0,0,0,0,,,,,,,
,3274,3721,2938,78.96%,2267,249,390,4,28,,,,,,,
,4009,2727,2234,81.92%,1750,200,265,1,18,,,,,,,
,4022,3891,2907,74.71%,2187,293,385,4,38,,,,,,,
,4027,2315,1851,79.96%,1406,188,234,1,22,,,,,,,
,4041,5109,4383,85.79%,3416,310,622,3,32,,,,,,,
,4049,3743,2810,75.07%,2144,278,353,3,32,,,,,,,
,4065,5006,3959,79.09%,3071,285,544,7,52,,,,,,,
,4106,3615,2979,82.41%,2351,214,390,2,22,,,,,,,
,4167,2217,1704,76.86%,1290,124,279,2,9,,,,,,,
,4178,4403,3269,74.24%,2453,211,562,0,43,,,,,,,
,4185,2985,2205,73.87%,1641,126,387,3,48,,,,,,,
,4202,3421,2553,74.63%,1883,157,453,0,60,,,,,,,
,4242,4437,3577,80.62%,2792,187,536,3,59,,,,,,,
,4250,4384,3561,81.23%,2726,226,557,1,51,,,,,,,
,4254,3140,2500,79.62%,1817,174,470,3,36,,,,,,,
,4282,2707,2400,88.66%,1836,106,430,0,28,,,,,,,
,4299,3610,2475,68.56%,1797,163,454,1,60,,,,,,,
,TOTAL,61431,48305,78.63%,36827,3491,7311,38,638,,,,,,,
STATE SENATOR 8TH DISTRICT,Precinct,Voters,Trnout,Pct,MARGARET CARTER (DEM),WHITNEY SMITH (PAC),Under Votes,Over Votes,Write-ins,,,,,,,
,157,22,22,100%,15,3,4,0,0,,,,,,,
,1002,846,718,84.87%,440,132,139,1,6,,,,,,,
,2002,4037,2650,65.64%,1768,496,341,7,38,,,,,,,
,2026,4000,2653,66.33%,1858,431,323,5,36,,,,,,,
,2029,3566,2586,72.52%,1799,380,354,10,43,,,,,,,
,2077,4831,3640,75.35%,2364,644,572,4,56,,,,,,,
,2086,4299,3159,73.48%,2221,514,378,7,39,,,,,,,
,2099,3501,2379,67.95%,1741,396,206,13,23,,,,,,,
